Calorias (kcal),Carbohidratos (g),Lípidos (g),Proteína (g),Sodio (mg)
417,25.2,24.1,26.7,621
161,38.9,0.2,0.42,12
442,4,4,24,288
306,66.1,0.7,6.3,365
372,84,6.9,9,2
50,15,0,1,15
210,24,12,3,315
27,5.6,0.3,1.7,5
228,0.2,24,6,429
161,38.9,0.2,0,12
100,20,2.5,2,10
336,44,16,4,70
293,43,1.3,8,100
161,38.9,0.2,0.42,12
176,7.2,10.3,13.5,132.4
200,40,5,4,20
337,9.4,23.6,16.2,680
234,24.7,13,2.3,130
248,56,6.9,6,2
228,0.2,24,6,429
161,38.9,0.2,0.42,12
340,0,20,37,318
234,24.7,13,0,130
306,66.1,0.7,6.3,365
190,22,8,8,349
228,0.2,24,6,429
211,32,7,2,380
184,23.8,6.6,8,355.5
250,0,17,23,800
105,15,1.5,2.5,15
27,5.6,0.3,1.7,5
228,21,12,9,170
240,34,10,4,10
300,0.86,6,25,50
161,38.9,0.2,0.42,12
426,30,30,11.4,47
306,66.1,0.7,6.3,365
485,71,19,6.5,230
228,21,12,9,170
55,13.7,0.2,1,4
22,5,0.53,0.75,3
51,11,0.2,1,8
287,60,0.9,10.4,2.8
222,27,10.5,4.5,457
372,84,6.9,9,2
161,38.9,0.2,0.42,12
205,2,1.6,46.6,270
380,44,16,16,344
27,5.6,0.3,1.7,5
161,38.9,0.2,0.42,12
372,84,6.9,9,2
220,0,4,44,421
159,22,7.2,2,321
184,23.8,6.6,8,355.5
325,15,5.5,46.5,421
70,22,8,3,40
105,27,0.4,1.3,1
210,24,12,3,315
228,21,12,9,170
248,56,6.9,6,2
161,38.9,0.2,0.42,12
328,40,13.2,12,220
228,21,12,9,170
248,56,6.9,6,2
161,38.9,0.2,0.42,12
217,0,6.5,13.12,181
105,15,1.5,2.5,15
200,40,5,4,20
152,4.4,0,32,0
248,56,6.9,6,2
161,38.9,0.2,0.42,12
504,66,24,6,105
196,6.2,9.1,27.3,226
152,4.4,0,32,0
500,33.4,30,20,210
161,38.9,0.2,0.42,12
401,12.94,24.44,30.61,425
222,27,10.5,4.5,457
222,27,10.5,4.5,457
152,4.4,0,32,0
105,27,0.4,1.3,1
380,44,16,16,344
70,22,8,3,40
530,14.4,26.3,54.5,343
23,1.24,2.08,0.29,22
293,53.62,4,9.87,295
120,19,4.5,2,134
152,4.4,0,32,0
105,27,0.4,1.3,1
248,56,6.9,6,2
161,38.9,0.2,0.42,12
555,41,24,44,598
80,0,10.02,19.62,220
293,43,1.3,8,100
152,4.4,0,32,0
248,56,6.9,6,2
161,38.9,0.2,0.42,12
504,66,24,6,105
235,18.28,13.66,9.82,305
152,4.4,0,32,0
196,6.2,9.1,27.3,226
248,56,6.9,6,2
161,38.9,0.2,0.42,12
442,4,4,24,288
310,57,1,19,15
152,4.4,0,32,0
248,56,6.9,6,2
161,38.9,0.2,0.42,12
426,30,30,11.4,47
306,66.1,0.7,6.3,365
152,4.4,0,32,0
248,56,6.9,6,2
161,38.9,0.2,0.42,12
530,14.4,26.3,54.5,343
310,57,1,19,15
152,4.4,0,32,0
105,27,0.4,1.3,1
300,0.86,6,25,50
161,38.9,0.2,0.42,12
413,22.41,29.21,18.68,422
293,53.62,4,9.87,295
120,20.7,2.6,3.4,53
225,46.59,3.72,4.23,59
36,3.8,1.5,1.9,27.69
161,38.9,0.2,0.42,12
300,0.86,6,25,50
105,27,0.4,1.3,1
248,56,6.9,6,2
144,0,3.2,28.8,72
80,4.25,14.7,2,7
12,3,0.1,0.4,1.5
196,6.2,9.1,27.3,226
140,23.2,4.2,2.4,180
248,56,6.9,6,2
227,1.9,12.6,27,85
13,1.1,0.2,0.8,6
196,6.2,9.1,27.3,226
164,5.6,14.36,6.03,10
248,56,6.9,6,2
160,21,7,2,220
330,31.97,15.91,14.28,410
196,6.2,9.1,27.3,226
248,56,6.9,6,2
160,21,7,2,220
330,31.97,15.91,14.28,410
196,6.2,9.1,27.3,226
248,56,6.9,6,2
227,1.9,12.6,27,85
52,6,1.5,3.9,46
196,6.2,9.1,27.3,226
248,56,6.9,6,2
100,15,6.8,9,220
110,0.24,1.18,22.73,221
120,19,4.5,2,150
196,6.2,9.1,27.3,226
196,6.2,9.1,27.3,226
248,56,6.9,6,2
200,2.511,4.72,16.31,173
206,22,0.2,2.1,288.5
184,23.8,6.6,8,255
180,4,14,13,350
72,19.06,0.23,0.36,1
96,25,0.2,0.63,5
248,56,6.9,6,2
144,0,3.2,28.8,72
184,23.8,6.6,8,255
42,5.13,1.9,1.76,149
196,6.2,9.1,27.3,226
90,10,0,13,80
72,19.06,0.23,0.36,1
248,56,6.9,6,2
227,1.9,12.6,27,85
13,1.1,0.2,0.8,6
196,6.2,9.1,27.3,226
90,10,0,13,80
96,25,0.2,0.63,5
164,5.6,14.36,6.03,10
248,56,6.9,6,2
319,28,19,9.6,450
105,27,0.4,1.3,1
164,5.6,14.36,6.03,10
96,25,0.2,0.63,5
248,56,6.9,6,2
110,0.24,1.18,22.73,221
310,57.7,3.4,11.2,495
248,56,6.9,6,2
144,0,3.2,28.8,72
80,4.25,14.7,2,7
12,3,0.1,0.4,1.5
196,6.2,9.1,27.3,226
140,23.2,4.2,2.4,180
248,56,6.9,6,2
227,1.9,12.6,27,85
13,1.1,0.2,0.8,6
196,6.2,9.1,27.3,226
164,5.6,14.36,6.03,10
176,7.2,10.3,13.5,132.4
448,44.77,19.86,21.7,499
439,41,27,5,50
448,44.77,19.86,21.7,499
248,56,6.9,6,2
442,4,4,24,288
265,37.4,7.7,9.7,425
310,57.7,3.4,11.2,495
96,25,0.2,0.63,5
90,10,0,13,80
164,5.6,14.36,6.03,10
248,56,6.9,6,2
123,0.31,1.33,25.53,200
135,5.52,11.6,3.64,290
196,6.2,9.1,27.3,226
248,56,6.9,6,2
5,1,0,0,0
111,1.75,0,22.39,149
265,37.4,7.7,9.7,425
310,57.7,3.4,11.2,495
248,56,6.9,6,2
1,0,10,0,1
336,44,16,4,70
34,7,5,22,9
265,37.4,7.7,9.7,425
310,57.7,3.4,11.2,495
90,10,0,13,80
69,1,1,2,95
248,56,6.9,6,2
4,0,0,0,7
319,28,19,9.6,450
196,6.2,9.1,27.3,226
293,43,1.3,8,100
152,4.4,0,32,0
248,56,6.9,6,2
161,38.9,0.2,0.42,12
504,66,24,6,105
235,18.28,13.66,9.82,305
152,4.4,0,32,0
196,6.2,9.1,27.3,226
248,56,6.9,6,2
161,38.9,0.2,0.42,12
442,4,4,24,288
310,57,1,19,15
152,4.4,0,32,0
248,56,6.9,6,2
442,4,4,24,288
265,37.4,7.7,9.7,425
310,57.7,3.4,11.2,495
96,25,0.2,0.63,5
90,10,0,13,80
164,5.6,14.36,6.03,10
248,56,6.9,6,2
123,0.31,1.33,25.53,200
135,5.52,11.6,3.64,290
196,6.2,9.1,27.3,226
417,25.2,24.1,26.7,621
161,38.9,0.2,0.42,12
442,4,4,24,288
306,66.1,0.7,6.3,365
372,84,6.9,9,2
50,15,0,1,15
210,24,12,3,315
27,5.6,0.3,1.7,5
228,0.2,24,6,429
161,38.9,0.2,0,12
248,56,6.9,6,2
161,38.9,0.2,0.42,12
442,4,4,24,288
310,57,1,19,15
152,4.4,0,32,0
248,56,6.9,6,2
161,38.9,0.2,0.42,12
426,30,30,11.4,47
